user_id,question_id,score,answer,category
10,13,1.0,4.0,Subjects
10,14,1.0,4.0,Subjects
10,15,1.0,3.0,Subjects
10,16,1.0,4.0,Places
10,17,1.0,3.0,Places
10,18,1.0,2.0,Places
10,19,1.0,4.0,Places
10,20,1.0,4.0,Places
10,21,1.0,1.0,Colours
10,22,2.0,11.0,Subjects
10,23,2.0,2.0,Colours
10,24,3.0,6.0,Abstract concepts
10,25,2.0,17.0,Places
10,26,2.0,4.0,Colours
10,27,4.0,16.0,Places
10,28,2.0,12.0,Subjects
10,29,3.0,5.0,Colours
10,30,3.0,18.0,Places
10,31,4.0,16.0,Places
10,32,4.0,2.0,Colours
10,33,4.0,20.0,Places
10,34,1.0,5.0,Colours
10,35,2.0,12.0,Subjects
10,36,2.0,11.0,Subjects
10,37,3.0,19.0,Places
10,38,1.0,2.0,Colours
10,39,2.0,12.0,Subjects
10,40,3.0,3.0,Colours
10,41,4.0,18.0,Places
10,42,4.0,3.0,Colours
10,43,3.0,20.0,Places
10,44,4.0,16.0,Places
10,45,2.0,17.0,Places
10,46,3.0,19.0,Places
10,47,4.0,16.0,Places
10,48,4.0,2.0,Colours
10,49,3.0,5.0,Colours
10,50,3.0,3.0,Colours
10,51,4.0,16.0,Places
10,52,4.0,2.0,Colours
10,53,4.0,20.0,Places
10,54,1.0,5.0,Colours
10,55,2.0,19.0,Places
10,56,3.0,17.0,Places
10,57,3.0,19.0,Places
10,58,4.0,18.0,Places
10,59,2.0,16.0,Places
10,60,3.0,3.0,Colours
11,1,1.0,3.0,Colours
11,2,1.0,4.0,Colours
11,3,1.0,1.0,Colours
11,4,1.0,1.0,Colours
11,5,1.0,1.0,Colours
11,6,1.0,2.0,Abstract concepts
11,7,1.0,3.0,Abstract concepts
11,8,1.0,4.0,Abstract concepts
11,9,1.0,3.0,Abstract concepts
11,10,1.0,4.0,Abstract concepts
11,11,1.0,4.0,Subjects
11,12,1.0,3.0,Subjects
11,13,1.0,4.0,Subjects
11,14,1.0,2.0,Subjects
11,15,1.0,3.0,Subjects
11,16,1.0,4.0,Places
11,17,1.0,3.0,Places
11,18,1.0,3.0,Places
11,19,1.0,3.0,Places
11,20,1.0,2.0,Places
11,21,3.0,7.0,Abstract concepts
11,22,2.0,11.0,Subjects
11,23,2.0,2.0,Colours
11,24,4.0,16.0,Places
11,25,2.0,13.0,Subjects
11,26,3.0,19.0,Places
11,27,4.0,16.0,Places
11,28,4.0,2.0,Colours
11,29,2.0,10.0,Abstract concepts
11,30,2.0,13.0,Subjects
11,31,4.0,16.0,Places
11,32,4.0,2.0,Colours
11,33,2.0,10.0,Abstract concepts
11,34,4.0,17.0,Places
11,35,2.0,8.0,Abstract concepts
11,36,3.0,17.0,Places
11,37,2.0,13.0,Subjects
11,38,4.0,18.0,Places
11,39,3.0,5.0,Colours
11,40,2.0,9.0,Abstract concepts
11,41,4.0,18.0,Places
11,42,4.0,3.0,Colours
11,43,2.0,12.0,Subjects
11,44,4.0,16.0,Places
11,45,4.0,5.0,Colours
11,46,3.0,9.0,Abstract concepts
11,47,4.0,16.0,Places
11,48,4.0,2.0,Colours
11,49,2.0,10.0,Abstract concepts
11,50,3.0,18.0,Places
11,51,4.0,16.0,Places
11,52,4.0,2.0,Colours
11,53,4.0,20.0,Places
11,54,1.0,5.0,Colours
11,55,4.0,3.0,Colours
11,56,3.0,17.0,Places
11,57,3.0,19.0,Places
11,58,4.0,18.0,Places
11,59,3.0,5.0,Colours
11,60,3.0,20.0,Places
12,1,1.0,2.0,Colours
12,2,1.0,3.0,Colours
12,3,1.0,1.0,Colours
12,4,1.0,4.0,Colours
12,5,1.0,2.0,Colours
12,6,1.0,3.0,Abstract concepts
12,7,1.0,4.0,Abstract concepts
12,8,1.0,2.0,Abstract concepts
12,9,,,Abstract concepts
12,10,1.0,4.0,Abstract concepts
12,11,1.0,2.0,Subjects
12,12,1.0,3.0,Subjects
12,13,1.0,4.0,Subjects
12,14,1.0,1.0,Subjects
12,15,1.0,1.0,Subjects
12,16,1.0,3.0,Places
12,17,1.0,4.0,Places
12,18,1.0,4.0,Places
12,19,1.0,2.0,Places
12,20,1.0,2.0,Places
12,21,3.0,7.0,Abstract concepts
12,22,2.0,9.0,Abstract concepts
12,23,3.0,8.0,Abstract concepts
12,24,2.0,15.0,Subjects
12,25,4.0,5.0,Colours
12,26,3.0,19.0,Places
